Date (GMT-7:00),CPM,ACPM,uSv/h,Latitude,Longitude
2023-09-15 22:44:49,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 22:39:47,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 22:34:45,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 22:29:43,5,13.33,0.03,38.864147,-77.7026515
2023-09-15 22:24:41,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 22:19:39,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 22:14:37,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 22:09:35,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 22:04:33,22,13.33,0.14,38.864147,-77.7026515
2023-09-15 21:59:31,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 21:54:30,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 21:49:27,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 21:44:25,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 21:39:23,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 21:34:21,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 21:29:19,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 21:24:17,8,13.33,0.05,38.864147,-77.7026515
2023-09-15 21:19:15,18,13.33,0.12,38.864147,-77.7026515
2023-09-15 21:14:13,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 21:09:11,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 21:04:09,19,13.33,0.12,38.864147,-77.7026515
2023-09-15 20:59:07,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 20:54:05,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 20:49:03,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 20:44:01,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 20:39:01,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 20:33:57,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 20:28:55,7,13.33,0.05,38.864147,-77.7026515
2023-09-15 20:23:53,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 20:18:51,19,13.33,0.12,38.864147,-77.7026515
2023-09-15 20:13:49,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 20:08:47,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 20:03:45,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 19:58:43,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 19:53:41,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 19:48:39,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 19:43:37,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 19:38:35,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 19:33:33,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 19:28:31,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 19:23:29,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 19:18:28,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 19:13:25,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 19:08:25,6,13.33,0.04,38.864147,-77.7026515
2023-09-15 19:03:21,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 18:58:19,20,13.33,0.13,38.864147,-77.7026515
2023-09-15 18:53:17,6,13.33,0.04,38.864147,-77.7026515
2023-09-15 18:48:15,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 18:43:13,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 18:38:13,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 18:33:09,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 18:28:07,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 18:23:06,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 18:18:03,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 18:13:01,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 18:08:00,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 18:02:57,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 17:57:55,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 17:52:53,19,13.33,0.12,38.864147,-77.7026515
2023-09-15 17:47:51,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 17:42:49,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 17:37:47,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 17:32:45,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 17:27:43,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 17:22:41,25,13.33,0.16,38.864147,-77.7026515
2023-09-15 17:17:39,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 17:12:37,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 17:07:35,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 17:02:33,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 16:57:31,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 16:52:29,22,13.33,0.14,38.864147,-77.7026515
2023-09-15 16:47:27,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 16:42:25,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 16:37:23,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 16:32:21,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 16:27:19,8,13.33,0.05,38.864147,-77.7026515
2023-09-15 16:22:17,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 16:17:15,8,13.33,0.05,38.864147,-77.7026515
2023-09-15 16:12:13,21,13.33,0.14,38.864147,-77.7026515
2023-09-15 16:07:11,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 16:02:09,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 15:57:07,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 15:52:05,7,13.33,0.05,38.864147,-77.7026515
2023-09-15 15:47:04,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 15:42:01,21,13.33,0.14,38.864147,-77.7026515
2023-09-15 15:36:59,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 15:31:57,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 15:26:55,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 15:21:54,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 15:16:51,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 15:11:49,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 15:06:47,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 15:01:45,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 14:56:43,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 14:51:41,8,13.33,0.05,38.864147,-77.7026515
2023-09-15 14:46:39,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 14:41:37,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 14:36:35,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 14:31:34,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 14:26:31,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 14:21:29,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 14:16:27,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 14:11:25,20,13.33,0.13,38.864147,-77.7026515
2023-09-15 14:06:23,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 14:01:21,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 13:56:19,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 13:51:17,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 13:46:15,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 13:41:13,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 13:36:11,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 13:31:09,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 13:26:07,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 13:21:05,7,13.33,0.05,38.864147,-77.7026515
2023-09-15 13:16:03,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 13:11:01,17,13.33,0.11,38.864147,-77.7026515
2023-09-15 13:05:59,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 13:00:57,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 12:55:55,22,13.33,0.14,38.864147,-77.7026515
2023-09-15 12:50:53,18,13.33,0.12,38.864147,-77.7026515
2023-09-15 12:45:51,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 12:40:49,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 12:35:48,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 12:30:45,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 12:25:43,20,13.33,0.13,38.864147,-77.7026515
2023-09-15 12:20:41,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 12:15:39,15,13.33,0.1,38.864147,-77.7026515
