Pos,Breeder,Pigeon,Arrival,Speed
252,Woodsend/Perry,1016-AU15-GHC,33:37.0,114.571
253,Mr. Dovely,1310-AU15-FOYS,33:45.0,114.472
254,Greek Connection,0627-AU15-GRK,34:00.0,114.286
255,Debbie Ganus,0724-AU15-GFL,34:04.0,114.236
256,Jerry Allensworth,0410-AU15-VITA,34:20.0,114.039
257,Ganus Family Loft,0771-AU15-GFL,34:44.0,113.744
258,Emerson/Krass,1558-AU15-EMER,34:59.0,113.561
259,Stenman Loft,5262-AU15-VITA,35:28.0,113.208
260,Sierra Ranch Classic,0538-AU15-SIER,35:34.0,113.135
261,Skip's Janssens,5315-AU15-GL,36:05.0,112.76
262,Cypress Hills Farm,15650-AU15-HELF,36:21.0,112.568
263,N C Syndicate,3359-AU15-AA,38:50.0,110.808
264,Non Pareil Loft,0005-AU15-NPL,39:43.0,110.195
265,Emerson/Krass,1560-AU15-EMER,40:00.0,110
266,Woodsend/Perry,1535-AU15-CERO,40:17.0,109.806
267,Sandstrom Brothers Loft,0305-AU15-SBL,40:29.0,109.669
268,Woodsend/Perry,1039-AU15-GHC,40:41.0,109.532
269,Stelling Loft,0059-AU15-JHS,40:48.0,109.453
270,Kokomo Loft,32160-AU15-ARPU,40:49.0,109.441
271,Dave Harrett,0012-AU15-JEDD,40:50.0,109.43
272,Rick Barker,0314-AU15-VIP,41:10.0,109.204
273,Alonso Loft,0314-AU15-ALON,41:17.0,109.125
274,Equalizer Loft,0940-AU15-LAF,41:23.0,109.057
275,Texas Outlaws,19638-AU15-FOYS,41:35.0,108.922
276,Bionic Loft,4853-AU15-TEXS,41:40.0,108.866
277,Tongol 11,1985-AU15-TONG,41:46.0,108.799
278,Charlie's Little Loft,28219-AU15-ARPU,41:48.0,108.776
279,The Bailey Team,22719-AU15-ARPU,42:10.0,108.53
280,Stenman Loft,5263-AU15-VITA,42:13.0,108.497
281,Hi-Cal Connection,0799-AU15-HAWA,42:46.0,108.13
282,Redtex,0002-AU15-RTEX,42:56.0,108.02
283,Fisher Family Loft,55315-AU15-ARPU,43:07.0,107.898
284,The Bailey Team,22725-AU15-ARPU,43:10.0,107.865
285,Drama Queen Loft,1226-AU15-GCI,43:11.0,107.854
286,N C Syndicate,1065-AU15-TXHC,43:35.0,107.59
287,Alias-Alias,2054-AU15-ALIA,43:36.0,107.579
288,Shawnie & Lenny Loft,1112-AU15-SMCC,44:47.0,106.807
289,Dave Harrett,0022-AU15-JEDD,45:22.0,106.43
290,Protege Loft,0028-IF15-PROT,45:48.0,106.152
291,American Lofts,3588-AU15-CORP,46:16.0,105.854
292,Milner-Mckinsey,2498-AU15-VITA,46:37.0,105.632
293,Jerry Johnson,15412-AU15-SGF,47:01.0,105.379
293,A P C Loft,15045-AU15-APC,47:01.0,105.379
295,Ganus Family Loft,0786-AU15-GFL,47:08.0,105.305
296,Charlie's Little Loft,28217-AU15-ARPU,47:25.0,105.127
297,Bynum Family Lofts,27680-AU15-ARPU,47:45.0,104.918
298,A P C Loft,15051-AU15-APC,48:07.0,104.689
299,Shang N Dennis Yoh,0909-AU15-JEDD,48:25.0,104.503
300,Family Loft,0065-AU15-FAM,48:30.0,104.451
301,Alias-Alias,2017-AU15-ALIA,48:39.0,104.358
302,Ganus Family Loft,0759-AU15-GFL,48:42.0,104.327
303,Drama Queen Loft,1214-AU15-GCI,48:44.0,104.307
304,Jerry Johnson,15418-AU15-SGF,48:48.0,104.265
305,N C Syndicate,19660-AU15-FOYS,48:58.0,104.163
306,T C R Loft,3351-AU15-AA,49:18.0,103.957
307,N C Syndicate,3352-AU15-AA,49:33.0,103.804
308,Protege Loft,0013-IF15-PROT,49:46.0,103.672
309,Hi-Cal Connection,0788-AU15-HAWA,50:18.0,103.347
310,Alias-Alias,2027-AU15-ALIA,50:38.0,103.145
311,Kiko Arana,57087-AU15-ARPU,50:59.0,102.934
312,Woodsend/Perry,1038-AU15-GHC,51:00.0,102.924
313,Rick Barker,2352-AU15-HIGH,51:10.0,102.824
314,Mc Laughlin Lofts,2185-AU15-MCLO,53:40.0,101.344
